Country,Regulator,Issuance,Year,Scope,Detailed requirements (EN),Primary fraud controls,Customer/user protection,Authentication/tech,Incident reporting,Prescribed reporting template?,Contents of reporting template,Enforcement actions for non-compliance,Source_Original,Source_EN,Amendment_Of
Indonesia,,PBI No. 23/6/2021 on Payment Service Providers;,2021,,,,,,,,,,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_222321.aspx;,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_222321.aspx;,
Indonesia,,PBI No. 22/23/2020 on Payment System;,2020,,,,,,,,,,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_222321.aspx;,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_222321.aspx;,
Indonesia,,OJK POJK No. 12/2024 on Anti-Fraud Strategy,2024,,,,,,,,,,https://www.ojk.go.id/id/regulasi/Documents/Pages/Penerapan-Strategi-Anti-Fraud-Bagi-Lembaga-Jasa-Keuangan/POJK%2012%20Tahun%202024%20Penerapan%20Strategi%20Anti%20Fraud%20bagi%20Lembaga%20Jasa%20Keuangan.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Penerapan-Strategi-Anti-Fraud-Bagi-Lembaga-Jasa-Keuangan/POJK%2012%20Tahun%202024%20Penerapan%20Strategi%20Anti%20Fraud%20bagi%20Lembaga%20Jasa%20Keuangan.pdf,
Lao PDR,Bank of the Lao PDR (BOL); National Assembly (law),Law on Payment System (Amended) No. 32/NA (2023),2023.0,All payment systems and services operating in Lao PDR,"Establishes legal framework for payment systems oversight; mandates safety, confidentiality, integrity, and reliability; sets roles and responsibilities for operators and participants; empowers BOL to supervise and issue regulations.",Legal obligations to ensure safety and confidentiality; risk management and oversight,"End user is subject to receive qualified, safe, transparent services, and be treated fairly 
and equally under the law, to be able to provide feedbacks and comments on payment services 
to payment system operator, payment service provider, or competent authorities, and to be 
rightful to receive legal protection on his/her rights and benefits",Requires appropriate security measures in payment systems,General requirements for reporting to supervisors per law and subsequent regulations,Not specified; subject to BOL regulations.,"In every year, Payment business operator shall be audited by an external audit firm to 
certify the accuracy and completeness of accounting, financial reports, internal control system, 
and effectiveness of operation as well as to receive recommendation on remedial measures. 
Payment business operator shall select and hire external audit firm as defined by the 
Bank of the Lao PDR",Penalties and revocation under Law on Payment System.,https://www.bol.gov.la/en/fileupload/18-12-2025_1766051569.pdf,https://www.bol.gov.la/en/fileupload/18-12-2025_1766051569.pdf,
Malaysia,Bank Negara Malaysia (BNM),Managing Risks of Electronic Banking and Payment Instruments (BNM),2026.0,"RENTAS and FAST participants; financial institutions, payment system operators under BNM oversight","Safeguards electronic‑banking channels and payment instruments through strong authentication, transaction monitoring, and controls to mitigate direct‑debit and instrument‑related risks; RMiT‑aligned technology‑risk, cyber‑resilience, and real‑time fraud‑detection measures, while complying with Participation Rules and RENTAS procedures to ensure operational continuity, reporting of breaches, and secure settlement operations;mandates fair treatment of victims of unauthorised e‑banking transactions, requiring transparent investigation, swift freezing/recovery actions via NSRC/NFP, and accountable resolution processes




This policy document outlines the new requirements for managing technology risks by payment services regulatees (PSRs). It aims to consolidate the technology requirements within the payment sector into a single policy document, primarily for the approved issuers of electronic money (EMI), registered merchant acquirers (MA), and money services businesses (MSB).




","Governance including board‑level oversight of fraud risks and controls for e‑banking channels., BCM/system recovery and  continuous operational resilience with system‑recovery capabilities for RENTAS/FAST participants, compliance reporting including mandatory breach notifications and CRMA obligations for RENTAS/FAST participants, adherence to RMiT technology risk controls","Fraud detection, Authentication controls, E‑banking security
Cyber‑resilience, Breach reporting, BC/DR requirements
Settlement‑security rules, CRMA (Cyber Risk Management Assessment), fair treatment of fraud victims, fund freezing and tracing, Rules enhance safety and reliability of payment infrastructure, Clear communication and accountable resolution of unauthorised transaction cases.",ISO20022/MT-MX co-existence guidance; SWIFT access security; ePKI certificates; Real‑time fraud‑detection and continuous transaction monitoring ; ,"Operational incidents managed under Participation Rules and RENTAS procedures; incident escalation, including reporting unauthorised transactions immediately to NSRC; reporting breaches of the Rules to oversight committees and BNM, especially compliance‑related breaches",Not specified; Automated fund tracing and recovery (National Fraud Portal),"Expectation include Date/time, affected system, description, settlement impact, recovery actions, RMiT compliance references, transaction‑level data, victim/scammer details, 

Note: The process in Malaysia is automated due to their National Fraud Portal.",Penalties; suspension from RENTAS/FAST; revocation of approval by BNM.,https://fast.bnm.gov.my/fastweb/public/files/Participation%20Rules%20for%20Payments%20and%20Securities%20-%20April%202023.pdf,https://fast.bnm.gov.my/fastweb/public/files/Participation%20Rules%20for%20Payments%20and%20Securities%20-%20April%202023.pdf,
Myanmar,Central Bank of Myanmar (CBM),Mobile Financial Services Regulations (2016),2025.0,Mobile financial services providers; ACH participants,"MFS providers must implement security controls, costumer protection, transaction limits, agent management, AML/CFT compliance. CBM-NET ACH rules set operational, security and governance requirements for clearing and settlement.




The law law introduces mandatory licensing for digital platform providers and requires them to retain user data for three years to assist in fraud investigations.","Banks: A comprehensive, board‑approved risk management framework covering risk identification, measurement, monitoring, internal controls, and governance—explicitly linking to managing ML/TF risks and embedding risk‑control practices across the bank.

CBM‑NET ACH Guidelines (Version 1.0, May 2021) — for banks participating in ACH/clearing
 Participation/eligibility rules plus Operating Standards and Security requirements, including Security Standards, Security Requirements, and System Availability for ACH operations.

Regulation on Mobile Financial Services (MFS Regulation, FIL/R/01/03‑2016) — MFSPs & Agent networks
(1)Establish and maintain sound and prudent management, administrative/accounting procedures, adequate internal control systems, AML/CT controls, BCP/DRP, and effective audit functions (MFSP “Systems and Internal Controls”)
(2)Incident reporting: MFSPs must notify CBM within 2 business days of suspected/confirmed fraud, security breaches, outages >2 hours, or loss of confidential data
(3) Operational safeguards: 100% float in a trust account with daily reconciliation; robust agent governance (non‑exclusivity, due diligence, policies).

Remittance Business Regulations — CBM Notification No. 21/2019 — non‑bank cross‑border remitters
(1)AML/CFT unit, designated Compliance Officer, FIU training, risk assessments, sanctions screening (UN & domestic), and STR filing; detailed record‑keeping for transactions (customer IDs, purpose, amounts, dates)
(2) Operational controls & reporting: Daily ERS reporting to CBM, monthly/annual statements, management sign‑offs—governance and monitoring elements



Security standards; transaction monitoring; agent controls; dispute resolution",Consumer protection and grievance mechanisms within MFS framework,Multi-factor authentication for mobile services; secure ACH operations,"Operational incident/reporting per CBM rules.

Regulation on Mobile Financial Services (MFS Regulation, FIL/R/01/03‑2016) — MFSPs & Agent networks: Incident reporting: MFSPs must notify CBM within 2 business days of suspected/confirmed fraud, security breaches, outages >2 hours, or loss of confidential data

Remittance Business Regulations — CBM Notification No. 21/2019 — non‑bank cross‑border remitters
(1)AML/CFT unit, designated Compliance Officer, FIU training, risk assessments, sanctions screening (UN & domestic), and STR filing; detailed record‑keeping for transactions (customer IDs, purpose, amounts, dates)
(2) Operational controls & reporting: Daily ERS reporting to CBM, monthly/annual statements, management sign‑offs—governance and monitoring elements",Yes ( Daily ERS reporting to CBM).,No available data in the open source.,"License revocation, fines, suspension by CBM.",https://www.cbm.gov.mm/sites/default/files/Mobile%20Financial%20Services%20Regulation%202016.pdf,https://www.cbm.gov.mm/sites/default/files/Mobile%20Financial%20Services%20Regulation%202016.pdf,
Philippines,Bangko Sentral ng Pilipinas (BSP),Anti-Financial Account Scamming Act (RA 12010) and its Implementing Rules and Regulations,2024.0,Banks and non-bank institutions subject to BSP supervision and/or regulation,"See requirements under primary fraud controls, consumer/user protection, authentication/tech, and incident reporting.

In addition, supervised institutions are:
- required to collect relevant transaction logs, protect them against unauthorized manipulation, and retain them with adequate back-up for a period of at least five (5) years;
- prohibited from sending clickable links or QR codes via email, instant messaging apps, or SMS
- required to adopt a shared accountability framework that includes adequate risk management systems and controls, consumer awareness programs, and regular evaluation of third-party service providers involved in financial transactions, among others
","- Automated and real-time fraud monitoring and detection systems with transaction velocity checks or thresholds, monitoring of mobile device and account information changes, geolocation and behavioral anomalies, and blacklist screening;
- Customer authentication controls;
- 24-hour Transaction Pause Period after applying key account changes
","- Temporary holding of funds subject of a disputed transaction; 
- Real-time customer notification through secure channels;
- Mechanisms to enable account holders to verify the identity of recipients of fund transfers; 
- Self-service facility that enables account holders to suspend their account, block outgoing financial transactions and prevent unauthorized changes to account information
- Money lock feature
- Customizable transaction limits
- Consumer awareness program","- Multi-factor authentication
- Device fingerprinting/
- Any of the following: biometric authentication, behavioral biometrics, passwordless authentication, adaptive authentication","- Reportable major cyber-related incidents
- Disruptions of financial services and operations
- Report on temporary holding of funds
- Report on crimes and losses","- None for reportable major cyber-related incidents and disruptions of financial services and operations (but with prescribed contents)

- Yes for the reports on temporary holding of funds and report on crimes and losses","For major cyber-related incidents and disruptions of financial services and operations
- nature of incident; manner and time of initial detection; impact of the incident based on initial assessment; initial response or actions taken/to be taken; whether the incident resulted in activation of the Business Continuity Plan and/or Crisis Management Plan

For temporary holding of funds
- trigger to hold funds; status of held funds at the time of reporting; date and time of receipt/transmission of trigger to hold funds; date and time of initiation of hold; date and time of release of held funds; amount on hold in original currency and in PHP; account number subject to hold; name, address, contact number and email address of account owner subject to hold; originating financial institution; amount under dispute in original currency and in PHP; account number of source account; name of account owner of the source account","Monetary penalties, suspension of services, license revocation by BSP.","https://www.bsp.gov.ph/Regulations/Banking%20Laws/AFASA-Booklet-with-IRRs.pdf
- https://www.bsp.gov.ph/Regulations/Issuances/2022/1140.pdf
- https://www.bsp.gov.ph/Regulations/Issuances/2020/m053.pdf
- https://www.bsp.gov.ph/Regulations/Issuances/2022/M-2022-015.pdf
- https://www.bsp.gov.ph/Regulations/Issuances/2024/M-2024-030.pdf
- https://www.bsp.gov.ph/Regulations/Issuances/2018/c1019.pdf","https://www.bsp.gov.ph/Regulations/Banking%20Laws/AFASA-Booklet-with-IRRs.pdf
- https://www.bsp.gov.ph/Regulations/Issuances/2022/1140.pdf
- https://www.bsp.gov.ph/Regulations/Issuances/2020/m053.pdf
- https://www.bsp.gov.ph/Regulations/Issuances/2022/M-2022-015.pdf
- https://www.bsp.gov.ph/Regulations/Issuances/2024/M-2024-030.pdf
- https://www.bsp.gov.ph/Regulations/Issuances/2018/c1019.pdf",
Singapore,Monetary Authority of Singapore (MAS),Guidelines on Shared Responsibility Framework (SRF) for e-payments (2024),2024.0,"Banks and relevant payment service providers issuing protected accounts

Major Payments Institutions","SRF clarifies roles of account users, financial institutions and telcos in mitigating seemingly authorised scam transactions, sets duties, processes and allocation of responsibility for losses, and workflow for reporting.
- MAS provided MPIs with anti-scam measures including preventive measures, detective measures, and remedial measures","ScamShield mobile app, SMS Sender ID Registry regime, bank measures implemented to strengthen anti-malware controls, fraud surveillance, and detection capabilities, public education, through public advisories and sharing best practices
- Preventive Measures, Detective Measures and Remedial Measures","Consumer Protection (Fair Trading) Act (CPFTA), Protection from Scams Act 2025
- MPI e-wallet providers should provide e-wallet users with a reporting channel",Measures for high-risk actions; cyber hygiene via sector notices; risk-based approach through digital token,Notice CMG-N01 on Reporting of Suspicious Activities and Incidents of Fraud (revised on 2024),Yes (structured STR/incident reporting).,"Account/dispute details, root cause analysis, user claim, FI actions, liability determination, resolution.","Directions, financial penalties, license revocation under PS Act (MAS), criminal convictions",https://www.mas.gov.sg/-/media/mas-media-library/regulation/guidelines/pso/guidelines-on-shared-responsibility-framework/guidelines-on-shared-responsibility-framework.pdf,https://www.mas.gov.sg/-/media/mas-media-library/regulation/guidelines/pso/guidelines-on-shared-responsibility-framework/guidelines-on-shared-responsibility-framework.pdf,
Singapore,Monetary Authority of Singapore (MAS),E-Payments User Protection Guidelines (context via MAS consultation/Annex),2024.0,"Banks and relevant payment service providers issuing protected accounts

Major Payments Institutions","SRF clarifies roles of account users, financial institutions and telcos in mitigating seemingly authorised scam transactions, sets duties, processes and allocation of responsibility for losses, and workflow for reporting.
- MAS provided MPIs with anti-scam measures including preventive measures, detective measures, and remedial measures","ScamShield mobile app, SMS Sender ID Registry regime, bank measures implemented to strengthen anti-malware controls, fraud surveillance, and detection capabilities, public education, through public advisories and sharing best practices
- Preventive Measures, Detective Measures and Remedial Measures","Consumer Protection (Fair Trading) Act (CPFTA), Protection from Scams Act 2025
- MPI e-wallet providers should provide e-wallet users with a reporting channel",Measures for high-risk actions; cyber hygiene via sector notices; risk-based approach through digital token,Notice CMG-N01 on Reporting of Suspicious Activities and Incidents of Fraud (revised on 2024),Yes (structured STR/incident reporting).,"Account/dispute details, root cause analysis, user claim, FI actions, liability determination, resolution.","Directions, financial penalties, license revocation under PS Act (MAS), criminal convictions","https://www.mas.gov.sg/-/media/mas-media-library/publications/consultations/pd/2023/eupg/response/annex-b---submissions-to-consultation-paper-on-e-payments-user-protection-guidelines.pdf
https://www.mas.gov.sg/-/media/mas-media-library/regulation/circulars/pd/circular-on-anti-scam-measures/circular-on-anti-scam-measures-by-major-payment-institutions-issuing-e-wallets.pdf","https://www.mas.gov.sg/-/media/mas-media-library/publications/consultations/pd/2023/eupg/response/annex-b---submissions-to-consultation-paper-on-e-payments-user-protection-guidelines.pdf
https://www.mas.gov.sg/-/media/mas-media-library/regulation/circulars/pd/circular-on-anti-scam-measures/circular-on-anti-scam-measures-by-major-payment-institutions-issuing-e-wallets.pdf",
Thailand,Bank of Thailand (BOT),Payment Systems Act B.E. 2560,2017.0,Financial institutions; Highly Important Payment Systems; Designated Payment Systems; Designated Payment Services,"Payment service providers must adopt board-approved IT security and fraud risk management policies covering access control, confidentiality, integrity, availability, incident response, and audit. Annual independent IT security audits are required, with results submitted to BOT. In 2023, BOT mandated additional sector-wide anti-fraud measures, including restrictions on communication channels, strengthened authentication, transaction monitoring, and coordinated fraud response mechanisms.

Furthermore, the 2025 draft guidlines requires Payment Service Providers to implement end-to-end digital fraud management frameworks. These include the adoption of board-approved policies and KPIs covering the full fraud lifecycle, from prevention and monitoring to detection, response, and customer remediation. ","Preventive, detective, and responsive controls; Mandatory transaction monitoring; Restrictions on phishing vectors; Ability to suspend or freeze suspicious transactions; Coordination with AML authorities.

Providers are required to implement risk-based customer due diligence (CDD), continuously monitor transactions for suspicious behavior, and apply appropriate authentication measures depending on transaction risk and service channels. ","Mandatory customer alerts and transaction notifications; 24/7 fraud hotlines; Measures to prevent unauthorized transactions and support timely remediation.

",Biometrics for high-value transfers or limit changes; monitoring tech,Mandatory incident recording and reporting to BOT through supervisory channels; Timely notification and post-incident reporting required.,No,"Regulation does not prescribe a single public template; Supervisory reporting typically includes incident type, detection date, affected systems, customer impact, root cause, remedial actions, and control enhancements.","Fines, corrective orders, suspension by BOT.",https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610093.pdf,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610093.pdf,
Thailand,Bank of Thailand (BOT),Notification on Security of Information Technology Systems for Payment Systems/Services (2561),2018.0,Financial institutions; Highly Important Payment Systems; Designated Payment Systems; Designated Payment Services,"Payment service providers must adopt board-approved IT security and fraud risk management policies covering access control, confidentiality, integrity, availability, incident response, and audit. Annual independent IT security audits are required, with results submitted to BOT. In 2023, BOT mandated additional sector-wide anti-fraud measures, including restrictions on communication channels, strengthened authentication, transaction monitoring, and coordinated fraud response mechanisms.

Furthermore, the 2025 draft guidlines requires Payment Service Providers to implement end-to-end digital fraud management frameworks. These include the adoption of board-approved policies and KPIs covering the full fraud lifecycle, from prevention and monitoring to detection, response, and customer remediation. ","Preventive, detective, and responsive controls; Mandatory transaction monitoring; Restrictions on phishing vectors; Ability to suspend or freeze suspicious transactions; Coordination with AML authorities.

Providers are required to implement risk-based customer due diligence (CDD), continuously monitor transactions for suspicious behavior, and apply appropriate authentication measures depending on transaction risk and service channels. ","Mandatory customer alerts and transaction notifications; 24/7 fraud hotlines; Measures to prevent unauthorized transactions and support timely remediation.

",Biometrics for high-value transfers or limit changes; monitoring tech,Mandatory incident recording and reporting to BOT through supervisory channels; Timely notification and post-incident reporting required.,No,"Regulation does not prescribe a single public template; Supervisory reporting typically includes incident type, detection date, affected systems, customer impact, root cause, remedial actions, and control enhancements.","Fines, corrective orders, suspension by BOT.",https://www.bot.or.th/en/news-and-media/news/news-20230309.html,https://www.bot.or.th/en/news-and-media/news/news-20230309.html,
